"","Site","Date.Set","Time.Set","Date.Collected","Time.Collected","Trap","Frass.mass..mg.","Frass.number","Method","Notes","FrassFall link:","https://anecdata.org/projects/view/488","Year","jday.Set","jday.Collected","frass.mg.d","frass.no.d","jday"
"369","Botanical Garden",2016-06-07,"09:35:00",2016-06-10,"10:30:00","7B",1.5,6,"Funnel/Paper",NA,NA,NA,"2016",159.399305555556,162.4375,0.493714285714284,1.97485714285713,160.5
"370","Botanical Garden",2016-06-07,"09:13:00",2016-06-10,"10:38:00","8C",2.4,5,"Funnel/Paper",NA,NA,NA,"2016",159.384027777778,162.443055555556,0.78456299659478,1.63450624290579,160.5
"371","Botanical Garden",2016-06-07,"09:20:00",2016-06-10,"10:43:00","8D",1.6,10,"Funnel/Paper",NA,NA,NA,"2016",159.388888888889,162.446527777778,0.523279582103109,3.27049738814443,160.5
"372","Botanical Garden",2016-06-10,"10:44:00",2016-06-14,"08:46:00","8D",4,7,"Funnel/Paper","3mm live caterpillar in frass trap; one big frass",NA,NA,"2016",162.447222222222,166.365277777778,1.02091456930167,1.78660049627792,164
"373","Botanical Garden",2016-06-10,"10:10:00",2016-06-14,"08:56:00","6C",2.5,6,"Funnel/Paper",NA,NA,NA,"2016",162.423611111111,166.372222222222,0.633134013366161,1.51952163207879,164
"374","Botanical Garden",2016-06-10,"10:41:00",2016-06-14,"08:30:00","8C",2.6,11,"Funnel/Paper",NA,NA,NA,"2016",162.445138888889,166.354166666667,0.665127020785221,2.81399893409132,164
"375","Botanical Garden",2016-06-10,"10:28:00",2016-06-14,"08:41:00","7E",1.9,11,"Funnel/Paper",NA,NA,NA,"2016",162.436111111111,166.361805555556,0.483990801344419,2.80205200778348,164
"376","Botanical Garden",2016-06-10,"09:14:00",2016-06-14,"09:40:00","3E",1.7,7,"Funnel/Paper",NA,NA,NA,"2016",162.384722222222,166.402777777778,0.423090217767025,1.7421361908054,164
"377","Botanical Garden",2016-06-10,"08:38:00",2016-06-14,"10:04:00","1B",2.5,12,"Funnel/Paper",NA,NA,NA,"2016",162.359722222222,166.419444444444,0.615805679096816,2.95586725966472,164
"378","Botanical Garden",2016-06-10,"08:52:00",2016-06-14,"09:52:00","2B",1.1,8,"Funnel/Paper",NA,NA,NA,"2016",162.369444444444,166.411111111111,0.272164948453609,1.97938144329897,164
"379","Botanical Garden",2016-06-10,"09:12:00",2016-06-14,"09:37:00","3A",1.8,12,"Funnel/Paper",NA,NA,NA,"2016",162.383333333333,166.400694444444,0.448055315471045,2.98703543647364,164
"380","Botanical Garden",2016-06-10,"08:57:00",2016-06-14,"09:55:00","2C",3.9,13,"Funnel/Paper","pickup time/date not noted, estimated",NA,NA,"2016",162.372916666667,166.413194444444,0.965280165005154,3.21760055001718,164
"381","Botanical Garden",2016-06-10,"08:35:00",2016-06-14,"10:01:00","1C",2.2,13,"Funnel/Paper",NA,NA,NA,"2016",162.357638888889,166.417361111111,0.541908997605199,3.20218953130345,164
"382","Botanical Garden",2016-06-10,"10:31:00",2016-06-14,"08:43:00","7B",1,6,"Funnel/Paper",NA,NA,NA,"2016",162.438194444444,166.363194444444,0.254777070063694,1.52866242038216,164
"383","Botanical Garden",2016-06-10,"10:12:00",2016-06-14,"09:00:00","6D",1.6,7,"Funnel/Paper",NA,NA,NA,"2016",162.425,166.375,0.405063291139242,1.77215189873418,164
"384","Botanical Garden",2016-06-10,"09:52:00",2016-06-14,"09:13:00","5D",0.6,4,"Funnel/Paper",NA,NA,NA,"2016",162.411111111111,166.384027777778,0.151022548505505,1.0068169900367,164
"385","Botanical Garden",2016-06-10,"09:49:00",2016-06-14,"09:06:00","5A",1.5,15,"Funnel/Paper",NA,NA,NA,"2016",162.409027777778,166.379166666667,0.377820535245757,3.77820535245757,164
"386","Botanical Garden",2016-06-10,"09:30:00",2016-06-14,"09:24:00","4D",1.2,8,"Funnel/Paper",NA,NA,NA,"2016",162.395833333333,166.391666666667,0.300312825860271,2.00208550573514,164
"387","Botanical Garden",2016-06-10,"09:27:00",2016-06-14,"09:26:00","4E",0.6,3,"Funnel/Paper",NA,NA,NA,"2016",162.39375,166.393055555556,0.150026046188575,0.750130230942875,164
"388","Botanical Garden",2016-06-14,"09:54:00",2016-06-17,"08:43:00","2B",1.6,5,"Funnel/Paper","dried under lamp for 45 minutes",NA,NA,"2016",166.4125,169.363194444444,0.542245234172745,1.69451635678983,167.5
"389","Botanical Garden",2016-06-14,"09:57:00",2016-06-17,"08:46:00","2C",2.1,14,"Funnel/Paper","dried under lamp for 45 minutes",NA,NA,"2016",166.414583333333,169.365277777778,0.711696869851728,4.74464579901152,167.5
"390","Botanical Garden",2016-06-14,"10:06:00",2016-06-17,"08:31:00","1B",10.7,20,"Funnel/Paper","one big piece",NA,NA,"2016",166.420833333333,169.354861111111,3.64686390532542,6.81656804733723,167.5
"391","Botanical Garden",2016-06-14,"09:38:00",2016-06-17,"08:53:00","3A",0.6,11,"Funnel/Paper",NA,NA,NA,"2016",166.401388888889,169.370138888889,0.202105263157895,3.70526315789474,167.5
"392","Botanical Garden",2016-06-14,"09:42:00",2016-06-17,"08:55:00","3E",2.7,13,"Funnel/Paper",NA,NA,NA,"2016",166.404166666667,169.371527777778,0.909899368125441,4.38099695764101,167.5
"393","Botanical Garden",2016-06-14,"10:03:00",2016-06-17,"08:29:00","1C",6.6,18,"Funnel/Paper",NA,NA,NA,"2016",166.41875,169.353472222222,2.24893516327496,6.13345953620442,167.5
"394","Botanical Garden",2016-06-14,"09:27:00",2016-06-17,"09:10:00","4E",1.7,4,"Funnel/Paper",NA,NA,NA,"2016",166.39375,169.381944444444,0.568905414826865,1.33860097606321,167.5
"395","Botanical Garden",2016-06-14,"09:25:00",2016-06-17,"09:12:00","4D",1.7,17,"Funnel/Paper",NA,NA,NA,"2016",166.392361111111,169.383333333333,0.568377060599027,5.68377060599027,167.5
"396","Botanical Garden",2016-06-14,"09:23:00",2016-06-17,"09:08:00","5A",8.6,6,"Funnel/Paper","3 big pieces",NA,NA,"2016",166.390972222222,169.380555555556,2.8766550522648,2.00696864111498,167.5
"397","Botanical Garden",2016-06-14,"09:15:00",2016-06-17,"09:25:00","5D",6.1,19,"Funnel/Paper",NA,NA,NA,"2016",166.385416666667,169.392361111111,2.02863741339491,6.31870669745956,167.5
"398","Botanical Garden",2016-06-14,"08:58:00",2016-06-17,"09:39:00","6C",2.1,13,"Funnel/Paper",NA,NA,NA,"2016",166.373611111111,169.402083333333,0.693418940609949,4.29259344187111,167.5
"399","Botanical Garden",2016-06-14,"09:02:00",2016-06-17,"09:41:00","6D",5,19,"Funnel/Paper",NA,NA,NA,"2016",166.376388888889,169.403472222222,1.65175498967653,6.27666896077081,167.5
"400","Botanical Garden",2016-06-14,"08:43:00",2016-06-17,"09:55:00","7E",3.8,17,"Funnel/Paper",NA,NA,NA,"2016",166.363194444444,169.413194444444,1.24590163934426,5.57377049180326,167.5
"401","Botanical Garden",2016-06-14,"08:45:00",2016-06-17,"09:58:00","7B",0.5,5,"Funnel/Paper",NA,NA,NA,"2016",166.364583333333,169.415277777778,0.163897109037104,1.63897109037104,167.5
"402","Botanical Garden",2016-06-14,"08:31:00",2016-06-17,"10:06:00","8C",4.3,13,"Funnel/Paper",NA,NA,NA,"2016",166.354861111111,169.420833333333,1.40249150622878,4.24009060022653,167.5
"403","Botanical Garden",2016-06-14,"08:38:00",2016-06-17,"10:10:00","8D",1.9,10,"Funnel/Paper",NA,NA,NA,"2016",166.359722222222,169.423611111111,0.620126926563915,3.26382592928376,167.5
"404","Botanical Garden",2016-06-17,"08:38:00",2016-06-21,"09:57:00","7E",1.5,13,"Funnel/Paper",NA,NA,NA,"2016",169.359722222222,173.414583333333,0.369926357252955,3.20602842952561,171
"405","Botanical Garden",2016-06-17,"09:40:00",2016-06-21,"08:54:00","6C",1.3,12,"Funnel/Paper",NA,NA,NA,"2016",169.402777777778,173.370833333333,0.32761638081904,3.02415120756037,171
"406","Botanical Garden",2016-06-17,"08:45:00",2016-06-21,"09:51:00","2B",3.9,16,"Funnel/Paper",NA,NA,NA,"2016",169.364583333333,173.410416666667,0.963954685890837,3.9546858908342,171
"407","Botanical Garden",2016-06-17,"10:12:00",2016-06-21,"08:23:00","8D",19.1,15,"Funnel/Paper",NA,NA,NA,"2016",169.425,173.349305555556,4.86710316758097,3.82233233056097,171
"408","Botanical Garden",2016-06-17,"08:55:00",2016-06-21,"09:37:00","3A",5,26,"Funnel/Paper",NA,NA,NA,"2016",169.371527777778,173.400694444444,1.24095139607032,6.45294725956566,171
"409","Botanical Garden",2016-06-17,"08:31:00",2016-06-21,"10:10:00","1C",2,9,"Funnel/Paper",NA,NA,NA,"2016",169.354861111111,173.423611111111,0.491551459293395,2.21198156682028,171
"410","Botanical Garden",2016-06-17,"09:12:00",2016-06-21,"09:22:00","4E",3.6,9,"Funnel/Paper",NA,NA,NA,"2016",169.383333333333,173.390277777778,0.898440207972268,2.24610051993067,171
"411","Botanical Garden",2016-06-17,"09:27:00",2016-06-21,"09:14:00","5D",3.1,22,"Funnel/Paper","a lot of dust probably from frass not in count or weight",NA,NA,"2016",169.39375,173.384722222222,0.776753088567951,5.51244127370804,171
"412","Botanical Garden",2016-06-17,"10:08:00",2016-06-21,"08:18:00","8C",5.2,11,"Funnel/Paper","1 long cylindrical frass",NA,NA,"2016",169.422222222222,173.345833333333,1.32530973451327,2.80353982300885,171
"413","Botanical Garden",2016-06-17,"10:00:00",2016-06-21,"08:41:00","7B",4.5,8,"Funnel/Paper","1 long cylindrical frass",NA,NA,"2016",169.416666666667,173.361805555556,1.1406442527724,2.02781200492871,171
"414","Botanical Garden",2016-06-17,"08:51:00",2016-06-21,"09:43:00","6D",6.8,28,"Funnel/Paper","3 large cylindrical frass",NA,NA,"2016",169.36875,173.404861111111,1.68479008947007,6.93737095664146,171
"415","Botanical Garden",2016-06-17,"09:25:00",2016-06-21,"09:01:00","5A",2.3,17,"Funnel/Paper",NA,NA,NA,"2016",169.392361111111,173.375694444444,0.577405857740588,4.26778242677826,171
"416","Botanical Garden",2016-06-17,"09:14:00",2016-06-21,"09:20:00","4D",5.2,11,"Funnel/Paper",NA,NA,NA,"2016",169.384722222222,173.388888888889,1.29864724245578,2.7471383975026,171
"417","Botanical Garden",2016-06-17,"08:57:00",2016-06-21,"09:31:00","3E",5,22,"Funnel/Paper",NA,NA,NA,"2016",169.372916666667,173.396527777778,1.24266482568174,5.46772523299966,171
"418","Botanical Garden",2016-06-17,"08:48:00",2016-06-21,"09:46:00","2C",2.5,12,"Funnel/Paper","Funnel tilted 30 degrees",NA,NA,"2016",169.366666666667,173.406944444444,0.61876933654177,2.97009281540049,171
"419","Botanical Garden",2016-06-17,"08:33:00",2016-06-21,"10:00:00","1B",2.1,8,"Funnel/Paper",NA,NA,NA,"2016",169.35625,173.416666666667,0.517188301693176,1.97024114930734,171
"420","Botanical Garden",2016-06-21,"10:02:00",2016-06-24,"08:32:00","1B",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.418055555556,176.355555555556,NA,NA,174.5
"421","Botanical Garden",2016-06-21,"10:12:00",2016-06-24,"08:27:00","1C",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.425,176.352083333333,NA,NA,174.5
"422","Botanical Garden",2016-06-21,"09:48:00",2016-06-24,"08:50:00","2C",7.1,3,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Lots of fluff in the center not counted that probably contains frass.",NA,NA,"2016",173.408333333333,176.368055555556,2.39887376818396,1.01360863444393,174.5
"423","Botanical Garden",2016-06-21,"09:40:00",2016-06-24,"08:55:00","3A",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable. Large caterpillar in trap.",NA,NA,"2016",173.402777777778,176.371527777778,NA,NA,174.5
"424","Botanical Garden",2016-06-21,"09:53:00",2016-06-24,"08:43:00","2B",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.411805555556,176.363194444444,NA,NA,174.5
"425","Botanical Garden",2016-06-21,"09:03:00",2016-06-24,"09:26:00","5A",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.377083333333,176.393055555556,NA,NA,174.5
"426","Botanical Garden",2016-06-21,"09:25:00",2016-06-24,"09:15:00","4E",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.392361111111,176.385416666667,NA,NA,174.5
"427","Botanical Garden",2016-06-21,"09:33:00",2016-06-24,"09:00:00","3E",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.397916666667,176.375,NA,NA,174.5
"428","Botanical Garden",2016-06-21,"09:17:00",2016-06-24,"09:34:00","5D",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.386805555556,176.398611111111,NA,NA,174.5
"429","Botanical Garden",2016-06-21,"08:55:00",2016-06-24,"09:45:00","6C",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.371527777778,176.40625,NA,NA,174.5
"430","Botanical Garden",2016-06-21,"08:25:00",2016-06-24,"10:41:00","8D",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.350694444444,176.445138888889,NA,NA,174.5
"431","Botanical Garden",2016-06-21,"09:22:00",2016-06-24,"09:19:00","4D",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.390277777778,176.388194444444,NA,NA,174.5
"432","Botanical Garden",2016-06-21,"08:53:00",2016-06-24,"09:50:00","6D",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.370138888889,176.409722222222,NA,NA,174.5
"433","Botanical Garden",2016-06-21,"08:40:00",2016-06-24,"10:10:00","7E",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.361111111111,176.423611111111,NA,NA,174.5
"434","Botanical Garden",2016-06-21,"08:43:00",2016-06-24,"10:15:00","7B",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.363194444444,176.427083333333,NA,NA,174.5
"435","Botanical Garden",2016-06-21,"08:20:00",2016-06-24,"10:37:00","8C",NA,NA,"Funnel/Paper","Filter paper wet due to rain; dried 3 hours under lamp. Unusable",NA,NA,"2016",173.347222222222,176.442361111111,NA,NA,174.5
"436","Botanical Garden",2016-06-24,"08:30:00",2016-06-27,"02:20:00","1C",1.7,7,"Funnel/Paper",NA,NA,NA,"2016",176.354166666667,179.097222222222,0.619746835443034,2.5518987341772,177.5
"437","Botanical Garden",2016-06-24,"08:57:00",2016-06-27,"02:33:00","3A",5.7,27,"Funnel/Paper",NA,NA,NA,"2016",176.372916666667,179.10625,2.08536585365855,9.87804878048785,177.5
"438","Botanical Garden",2016-06-24,"08:52:00",2016-06-27,"02:27:00","2C",6.2,14,"Funnel/Paper","one large cylindrical frass",NA,NA,"2016",176.369444444444,179.102083333333,2.26886912325286,5.12325285895807,177.5
"439","Botanical Garden",2016-06-24,"09:03:00",2016-06-27,"02:33:00","3E",3,22,"Funnel/Paper",NA,NA,NA,"2016",176.377083333333,179.10625,1.09923664122138,8.0610687022901,177.5
"440","Botanical Garden",2016-06-24,"08:45:00",2016-06-27,"02:25:00","2B",0.6,7,"Funnel/Paper",NA,NA,NA,"2016",176.364583333333,179.100694444444,0.219289340101523,2.55837563451776,177.5
"441","Botanical Garden",2016-06-24,"09:18:00",2016-06-27,"02:39:00","4E",1,5,"Funnel/Paper",NA,NA,NA,"2016",176.3875,179.110416666667,0.367253251721496,1.83626625860748,177.5
"442","Botanical Garden",2016-06-24,"09:28:00",2016-06-27,"02:44:00","5A",1.8,14,"Funnel/Paper",NA,NA,NA,"2016",176.394444444444,179.113888888889,0.661899897854957,5.14811031664966,177.5
"443","Botanical Garden",2016-06-24,"09:48:00",2016-06-27,"02:50:00","6C",10.6,6,"Funnel/Paper","one large cylindrical frass",NA,NA,"2016",176.408333333333,179.118055555556,3.91184008200924,2.2142491030241,177.5
"444","Botanical Garden",2016-06-24,"08:35:00",2016-06-27,"02:22:00","1B",4.1,17,"Funnel/Paper",NA,NA,NA,"2016",176.357638888889,179.098611111111,1.49581960983026,6.20217887002789,177.5
"445","Botanical Garden",2016-06-24,"09:32:00",2016-06-27,"02:46:00","5D",3.5,28,"Funnel/Paper",NA,NA,NA,"2016",176.397222222222,179.115277777778,1.28768523249872,10.3014818599897,177.5
"446","Botanical Garden",2016-06-24,"09:53:00",2016-06-27,"02:49:00","6D",6.2,23,"Funnel/Paper",NA,NA,NA,"2016",176.411805555556,179.117361111111,2.29158110882957,8.5010266940452,177.5
"447","Botanical Garden",2016-06-24,"10:18:00",2016-06-27,"02:57:00","7B",3.2,14,"Funnel/Paper",NA,NA,NA,"2016",176.429166666667,179.122916666667,1.18793503480279,5.19721577726219,177.5
"448","Botanical Garden",2016-06-24,"10:13:00",2016-06-27,"02:53:00","7E",8.7,21,"Funnel/Paper","one large cylindrical frass",NA,NA,"2016",176.425694444444,179.120138888889,3.22886597938143,7.79381443298965,177.5
"449","Botanical Garden",2016-06-24,"10:40:00",2016-06-27,"03:00:00","8C",1.6,7,"Funnel/Paper",NA,NA,NA,"2016",176.444444444444,179.125,0.596891191709847,2.61139896373058,177.5
"450","Botanical Garden",2016-06-24,"10:45:00",2016-06-27,"03:02:00","8D",8.2,19,"Funnel/Paper",NA,NA,NA,"2016",176.447916666667,179.126388888889,3.06144672024888,7.09359605911325,177.5
"451","Botanical Garden",2016-07-01,"09:18:00",2016-07-06,"09:45:00","4D",9.8,10,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; one large cylindrical frass and lots of fluff in the center",NA,NA,"2016",183.3875,188.40625,1.95267745952677,1.99252801992528,185.5
"452","Botanical Garden",2016-07-01,"08:34:00",2016-07-06,"10:30:00","1C",1.5,6,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center",NA,NA,"2016",183.356944444444,188.4375,0.295243302351012,1.18097320940405,185.5
"453","Botanical Garden",2016-07-01,"09:05:00",2016-07-06,"10:01:00","3E",NA,NA,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; hole in bottom, completely empty (unusable)",NA,NA,"2016",183.378472222222,188.417361111111,NA,NA,185.5
"454","Botanical Garden",2016-07-01,"09:55:00",2016-07-06,"08:58:00","7B",6.1,5,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center",NA,NA,"2016",183.413194444444,188.373611111111,1.2297354052919,1.0079798404032,185.5
"455","Botanical Garden",2016-07-01,"09:43:00",2016-07-06,"09:07:00","6C",3.5,14,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center; live 5 mm catepillar",NA,NA,"2016",183.404861111111,188.379861111111,0.703517587939699,2.8140703517588,185.5
"456","Botanical Garden",2016-07-01,"09:53:00",2016-07-06,"08:54:00","7E",1.4,10,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center",NA,NA,"2016",183.411805555556,188.370833333333,0.282313401484386,2.01652429631704,185.5
"457","Botanical Garden",2016-07-01,"10:12:00",2016-07-06,"08:38:00","8E",NA,NA,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center (unusable)",NA,NA,"2016",183.425,188.359722222222,NA,NA,185.5
"458","Botanical Garden",2016-07-01,"10:07:00",2016-07-06,"08:34:00","8C",NA,NA,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center (unusable)",NA,NA,"2016",183.421527777778,188.356944444444,NA,NA,185.5
"459","Botanical Garden",2016-07-01,"08:37:00",2016-07-06,"10:36:00","1B",0.9,5,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center",NA,NA,"2016",183.359027777778,188.441666666667,0.177073370679055,0.983740948216971,185.5
"460","Botanical Garden",2016-07-01,"09:15:00",2016-07-06,"09:41:00","4E",0.7,4,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center",NA,NA,"2016",183.385416666667,188.403472222222,0.139496263492942,0.797121505673952,185.5
"461","Botanical Garden",2016-07-01,"09:04:00",2016-07-06,"09:59:00","3A",2.8,20,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center",NA,NA,"2016",183.377777777778,188.415972222222,0.555754651964161,3.96967608545829,185.5
"462","Botanical Garden",2016-07-01,"08:51:00",2016-07-06,"10:14:00","2B",NA,NA,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; hole in bottom, completely empty (unusable)",NA,NA,"2016",183.36875,188.426388888889,NA,NA,185.5
"463","Botanical Garden",2016-07-01,"08:55:00",2016-07-06,"10:20:00","2C",8.2,22,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center",NA,NA,"2016",183.371527777778,188.430555555556,1.62086479066575,4.34866163349349,185.5
"464","Botanical Garden",2016-07-01,"09:26:00",2016-07-06,"09:23:00","5A",0.3,2,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center",NA,NA,"2016",183.393055555556,188.390972222222,0.0600250104210087,0.400166736140058,185.5
"465","Botanical Garden",2016-07-01,"09:31:00",2016-07-06,"09:27:00","5D",3.6,6,"Funnel/Paper","filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center",NA,NA,"2016",183.396527777778,188.39375,0.720400222345746,1.20066703724291,185.5
"466","Botanical Garden",2016-07-06,"08:40:00",2016-07-08,"10:35:00","8E",27.2,18,"Funnel/Paper","two large cylindrical frass",NA,NA,"2016",188.361111111111,190.440972222222,13.077796327212,8.65442404006676,189
"467","Botanical Garden",2016-07-06,"09:47:00",2016-07-08,"09:22:00","4D",0.8,3,"Funnel/Paper",NA,NA,NA,"2016",188.407638888889,190.390277777778,0.403502626970228,1.51313485113836,189
"468","Botanical Garden",2016-07-06,"10:32:00",2016-07-08,"08:30:00","1C",3.8,13,"Funnel/Paper",NA,NA,NA,"2016",188.438888888889,190.354166666667,1.98404641044237,6.78752719361863,189
"469","Botanical Garden",2016-07-06,"08:36:00",2016-07-08,"10:31:00","8C",1.8,9,"Funnel/Paper",NA,NA,NA,"2016",188.358333333333,190.438194444444,0.865442404006676,4.32721202003338,189
"470","Botanical Garden",2016-07-06,"09:01:00",2016-07-08,"10:20:00","7B",8.8,15,"Funnel/Paper",NA,NA,NA,"2016",188.375694444444,190.430555555556,4.2825278810409,7.29976343359244,189
"471","Botanical Garden",2016-07-06,"10:22:00",2016-07-08,"08:51:00","2E?",7,37,"Funnel/Paper","live 5 mm beetle in trap;",NA,NA,"2016",188.431944444444,190.36875,3.61419863750446,19.1036213696664,189
"472","Botanical Garden",2016-07-06,"09:12:00",2016-07-08,"10:00:00","6D",1.7,11,"Funnel/Paper",NA,NA,NA,"2016",188.383333333333,190.416666666667,0.836065573770493,5.40983606557378,189
"473","Botanical Garden",2016-07-06,"10:05:00",2016-07-08,"09:07:00","3E",3.1,18,"Funnel/Paper",NA,NA,NA,"2016",188.420138888889,190.379861111111,1.5818568391212,9.18497519489729,189
"474","Botanical Garden",2016-07-06,"08:54:00",2016-07-08,"10:16:00","7A",12.1,33,"Funnel/Paper",NA,NA,NA,"2016",188.370833333333,190.427777777778,5.88251181634032,16.0432140445645,189
"475","Botanical Garden",2016-07-06,"09:43:00",2016-07-08,"09:18:00","4E",0.8,4,"Funnel/Paper",NA,NA,NA,"2016",188.404861111111,190.3875,0.403502626970228,2.01751313485114,189
"476","Botanical Garden",2016-07-06,"09:25:00",2016-07-08,"09:43:00","5A",5.8,8,"Funnel/Paper",NA,NA,NA,"2016",188.392361111111,190.404861111111,2.88198757763977,3.97515527950313,189
"477","Botanical Garden",2016-07-06,"10:16:00",2016-07-08,"08:47:00","2B",2.1,10,"Funnel/Paper",NA,NA,NA,"2016",188.427777777778,190.365972222222,1.08348262271588,5.1594410605518,189
"478","Botanical Garden",2016-07-06,"10:38:00",2016-07-08,"08:39:00","1B",8.9,12,"Funnel/Paper",NA,NA,NA,"2016",188.443055555556,190.360416666667,4.64179645056137,6.25860195581308,189
"479","Botanical Garden",2016-07-06,"09:29:00",2016-07-08,"09:39:00","5D",3.2,7,"Funnel/Paper",NA,NA,NA,"2016",188.395138888889,190.402083333333,1.59446366782006,3.48788927335638,189
"480","Botanical Garden",2016-07-06,"10:01:00",2016-07-08,"09:03:00","3A",4.1,21,"Funnel/Paper",NA,NA,NA,"2016",188.417361111111,190.377083333333,2.09213323883771,10.7158043940468,189
"481","Botanical Garden",2016-07-08,"09:57:00",2016-07-12,"08:24:00","6C",3.2,12,"Funnel/Paper","traps slightly damp, dried for 30 min under lamp",NA,NA,"2016",190.414583333333,194.35,0.813128639491794,3.04923239809423,192
"482","Botanical Garden",2016-07-08,"09:20:00",2016-07-12,"08:30:00","4E",3.3,7,"Funnel/Paper","traps slightly damp, dried for 30 min under lamp",NA,NA,"2016",190.388888888889,194.354166666667,0.832224168126096,1.76532399299475,192
"483","Botanical Garden",2016-07-08,"10:22:00",2016-07-12,"08:18:00","7B",8.6,11,"Funnel/Paper","traps slightly damp, dried for 30 min under lamp",NA,NA,"2016",190.431944444444,194.345833333333,2.19730305180979,2.81050390347764,192
"484","Botanical Garden",2016-07-08,"08:32:00",2016-07-12,"08:38:00","1C",9.6,15,"Funnel/Paper","one long frass; trap tilted at 70 degrees, aabout one third of trap area covered by trap folding inward; traps slightly damp, dried for 30 min under lamp",NA,NA,"2016",190.355555555556,194.359722222222,2.39750260145682,3.74609781477628,192
"485","Botanical Garden",2016-07-08,"08:49:00",2016-07-12,"02:35:00","2B",5.3,12,"Funnel/Paper","traps slightly damp, dried for 30 min under lamp",NA,NA,"2016",190.367361111111,194.107638888889,1.41700705532863,3.20831786112143,192
"486","Botanical Garden",2016-07-08,"10:18:00",2016-07-12,"08:19:00","7A",8.5,59,"Funnel/Paper","traps slightly damp, dried for 30 min under lamp",NA,NA,"2016",190.429166666667,194.346527777778,2.16982804467294,15.0611593689063,192
"487","Botanical Garden",2016-07-08,"10:33:00",2016-07-12,"08:22:00","8C",8.2,12,"Funnel/Paper","there is a hole in the bottom; traps slightly damp, dried for 30 min under lamp",NA,NA,"2016",190.439583333333,194.348611111111,2.09770829632262,3.06981701900871,192
"488","Botanical Garden",2016-07-08,"10:02:00",2016-07-12,"08:24:00","6D",16.5,4,"Funnel/Paper","one large cylindrical frass; traps slightly damp, dried for 30 min under lamp",NA,NA,"2016",190.418055555556,194.35,4.19639703285059,1.01730837160014,192
"489","Botanical Garden",2016-07-08,"08:52:00",2016-07-12,"08:35:00","2C",6.7,30,"Funnel/Paper","traps slightly damp, dried for 30 min under lamp",NA,NA,"2016",190.369444444444,194.357638888889,1.67995820999478,7.52220094027512,192
"490","Botanical Garden",2016-07-08,"10:37:00",2016-07-12,"08:21:00","8E",1.3,10,"Funnel/Paper","lots of fuzz in the middle; traps slightly damp, dried for 30 min under lamp",NA,NA,"2016",190.442361111111,194.347916666667,0.332859174964437,2.56045519203413,192
